mapping_id,condition_key,screening_type,interval_days,eligibility_logic,abnormal_followup_logic,jurisdiction,source_doc_id,effective_date,status,owner,last_reviewed,notes
map_001,diabetes_type2,a1c_monitoring,90,"active diabetes diagnosis","shorten interval if uncontrolled per guideline",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Starter row
map_002,diabetes_type2,retinopathy_screening,365,"active diabetes diagnosis","urgent ophthalmology referral if severe abnormal findings",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Starter row
map_003,diabetes_type2,nephropathy_screening_uacr,365,"active diabetes diagnosis","increase monitoring frequency if abnormal",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Starter row
map_004,diabetes_type2,egfr_monitoring,365,"active diabetes diagnosis","shorten interval for declining renal function",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_005,diabetes_type2,foot_exam,365,"active diabetes diagnosis","urgent foot care referral for high-risk findings",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_006,diabetes_type2,bp_followup,90,"active diabetes diagnosis with BP risk","accelerate follow-up for uncontrolled values",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_007,diabetes_type2,lipid_monitoring,365,"active diabetes diagnosis","shorten interval after major therapy change",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_008,prediabetes_risk,a1c_monitoring,365,"prediabetes risk profile or prior elevated A1c","shorten interval for worsening trend",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
map_009,hypertension,bp_followup,30,"persistent elevated BP or treated HTN","accelerate follow-up for severe or uncontrolled values",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Starter row expanded
map_010,hypertension,kidney_function_monitoring,365,"treated hypertension with renal risk","shorten interval for declining renal function",BC_CA,TODO_SOURCE_DOC,TODO_DATE,draft,TODO_OWNER,TODO_REVIEW_DATE,Provisional interval verify with source
